"编号","开始答题时间","结束答题时间","自定义字段","1.网络连接",
"20","2017-09-30 09:50:03","2017-09-30 09:50:11","","http://web.shobserver.com/news/detail?id=66272",
"21","2017-09-30 09:50:19","2017-09-30 09:50:21","","http://baijiahao.baidu.com/s?id=1569008447163254&wfr=spider&for=pc",
"22","2017-09-30 09:50:28","2017-09-30 09:50:30","","http://www.chinanews.com/gn/2015/12-29/7693681.shtml",
"23","2017-09-30 09:50:40","2017-09-30 09:50:43","","http://society.people.com.cn/n1/2017/0926/c1008-29560089.html",
"24","2017-09-30 09:50:59","2017-09-30 09:51:01","","http://news.163.com/17/0925/18/CV6UQUE4000187VE.html",
"25","2017-09-30 09:51:15","2017-09-30 09:51:19","","http://news.sina.com.cn/c/nd/2017-09-29/doc-ifymkwwk7050739.shtml",
"26","2017-09-30 09:51:22","2017-09-30 09:51:32","","http://tech.sina.com.cn/d/a/2017-09-27/doc-ifymeswe0217957.shtml",
"27","2017-09-30 09:51:36","2017-09-30 09:51:42","","http://www.dianzan.it/activity/5276.act",
"28","2017-09-30 09:51:56","2017-09-30 09:51:58","","http://news.youth.cn/sh/201709/t20170926_10781614.htm",
"29","2017-09-30 09:52:03","2017-09-30 09:52:11","","http://news.ifeng.com/a/20170925/52154462_0.shtml",
"30","2017-09-30 09:52:14","2017-09-30 09:52:22","","http://news.fudan.edu.cn/2016/0920/42275.html",
"31","2017-09-30 09:52:25","2017-09-30 09:52:32","","http://news.fudan.edu.cn/2014/0904/36771.html",
"32","2017-09-30 09:52:35","2017-09-30 09:52:42","","http://news.yuanlin.com/detail/2017926/259399.htm",
"33","2017-09-30 09:52:57","2017-09-30 09:53:10","","http://zs.njust.edu.cn/0b/bd/c4621a134077/page.htm",
"34","2017-09-30 09:53:15","2017-09-30 09:53:22","","http://www.zgkjcx.com/Article/ShowArticle.asp?ArticleID=8160",
"35","2017-09-30 09:53:25","2017-09-30 09:53:33","","http://www.nsfc.gov.cn/publish/portal0/tab348/info43522.htm",
"36","2017-09-30 09:53:42","2017-09-30 09:53:44","","http://zmjs.cntv.cn/jszb/shanghai/zhongyang/index.shtml",
"37","2017-09-30 09:53:53","2017-09-30 09:53:55","","http://blog.sciencenet.cn/blog-528739-862070.html",
"38","2017-09-30 09:54:08","2017-09-30 09:54:10","","http://baijiahao.baidu.com/s?id=1579539133783916481&wfr=spider&for=pc",
"39","2017-09-30 09:54:20","2017-09-30 09:54:22","","https://v.qq.com/x/page/u0353v8mgts.html",
"40","2017-09-30 09:54:24","2017-09-30 09:54:32","","http://baijiahao.baidu.com/s?id=1579706030783540384&wfr=spider&for=pc",
"41","2017-09-30 09:54:35","2017-09-30 09:54:44","","http://www.sohu.com/a/193200203_372526",
"42","2017-09-30 11:36:18","2017-09-30 11:36:36","","手机",
"43","2017-09-30 11:39:06","2017-09-30 11:39:10","","https://mr.baidu.com/mh8zwro",
"44","2017-09-30 11:40:27","2017-09-30 11:40:49","","？",
"45","2017-09-30 11:40:46","2017-09-30 11:41:22","","无线",
"46","2017-09-30 11:41:38","2017-09-30 11:41:46","","http://news.163.com/17/0929/20/CVHD5KK700018AOR.html",
"47","2017-09-30 11:41:29","2017-09-30 11:42:14","","http://www.jianshu.com/p/8fb5d1257389",
"48","2017-09-30 11:42:25","2017-09-30 11:42:42","","好",
"49","2017-09-30 11:43:12","2017-09-30 11:43:19","","http://mp.weixin.qq.com/s/SL-yAf8Qu_fVVJkZ3mZ1OA",
"50","2017-09-30 11:46:07","2017-09-30 11:46:20","","微信",
"51","2017-09-30 11:47:50","2017-09-30 11:47:55","","http://mp.weixin.qq.com/s/SL-yAf8Qu_fVVJkZ3mZ1OA",
"52","2017-09-30 11:49:35","2017-09-30 11:49:49","","微笑",
"53","2017-09-30 11:56:20","2017-09-30 11:57:27","","http://news.163.com/17/0929/22/CVHJUN8K00018AOQ.html",
"54","2017-09-30 12:04:43","2017-09-30 12:04:47","","http://news.cjn.cn/sywh/201709/t3078726.htm?from=timeline",
"55","2017-09-30 12:01:04","2017-09-30 12:05:58","","https://mr.baidu.com/bdafy1w",
"56","2017-09-30 12:10:12","2017-09-30 12:10:16","","http://mp.weixin.qq.com/s/VwapMGNBbbved8fnUWfidQ",
"57","2017-09-30 12:10:49","2017-09-30 12:10:53","","http://mp.weixin.qq.com/s/fAQ93qPwT2CQ4SK_F_ucVQ",
"58","2017-09-30 12:13:51","2017-09-30 12:14:10","","是",
"59","2017-09-30 12:14:54","2017-09-30 12:14:58","","http://www.jianshu.com/p/84351f5b4cda?from=timeline",
"60","2017-09-30 12:16:17","2017-09-30 12:16:27","","Safari",
"61","2017-09-30 12:16:50","2017-09-30 12:16:54","","http://mp.weixin.qq.com/s/hUXEusynjxJIOfx50RFxhg",
"62","2017-09-30 12:17:00","2017-09-30 12:17:10","","Safari",
"63","2017-09-30 12:19:21","2017-09-30 12:20:12","","钟扬老师的精神长存",
"64","2017-09-30 12:26:42","2017-09-30 12:27:03","","手机",
"65","2017-09-30 12:33:27","2017-09-30 12:33:51","","畅通",
"66","2017-09-30 12:38:36","2017-09-30 12:38:41","","http://news.163.com/17/0929/20/CVHD5KK700018AOR.html",
"67","2017-09-30 12:42:49","2017-09-30 12:42:54","","https://wj.qq.com/s/1585554/0ddb?from=groupmessage&isappinstalled=0",
"68","2017-09-30 12:42:27","2017-09-30 12:43:06","","https://wj.qq.com/s/1585554/0ddb?from=groupmessage&isappinstalled=0",
"69","2017-09-30 12:47:48","2017-09-30 12:48:50","","。。出",
"70","2017-09-30 12:58:26","2017-09-30 12:58:34","","https://wj.qq.com/s/1585554/0ddb?from=groupmessage&isappinstalled=0",
"71","2017-09-30 13:31:42","2017-09-30 13:48:46","","1",
"72","2017-09-30 14:43:00","2017-09-30 14:43:05","","http://m.thepaper.cn/newsDetail_forward_1811263?from=groupmessage&isappinstalled=0",
"73","2017-09-30 15:35:57","2017-09-30 15:36:11","","http://news.cctv.com/2017/09/29/VIDE2IzDrjrWQOzgItd1ohj0170929.shtml",
"74","2017-09-30 15:37:41","2017-09-30 15:37:43","","http://tv.cntv.cn/video/C31526/1ed89264b1533de1d490706a0a4e5c44",
"75","2017-09-30 15:42:11","2017-09-30 15:42:25","","a",
"76","2017-09-30 16:33:55","2017-09-30 16:34:01","","http://mp.weixin.qq.com/s/j0hz0gclEPlAvA1xAHot_w",
"77","2017-09-30 16:46:34","2017-09-30 16:46:52","","微信",
"78","2017-09-30 17:39:32","2017-09-30 17:39:47","","WIFI",
"79","2017-09-30 19:18:59","2017-09-30 19:19:14","","是",
"80","2017-09-30 19:21:06","2017-09-30 19:21:10","","http://m.uczzd.cn/webview/news?app=smds-iflow&aid=8867927277720185311&cid=0&zzd_from=smsc-news&uc_param_str=dndsfrvesvntnwpfgicp&recoid=&rd_type=reco&sp_gz=0&recoid=b57416408aa831e39d22a8086577603b",
"81","2017-09-30 19:23:53","2017-09-30 19:23:57","","http://www.sohu.com/a/194501327_732304",
"82","2017-09-30 19:29:44","2017-09-30 19:29:49","","http://mp.weixin.qq.com/s/0iNjiWRnjfLsNLzN40h1tw",
"83","2017-09-30 20:50:22","2017-09-30 20:50:42","","http://mp.weixin.qq.com/s/h0RzK05CuS2Ban3JGgEnBg",
"84","2017-09-30 22:01:21","2017-09-30 22:02:10","","111",
"85","2017-09-30 22:45:26","2017-09-30 22:45:33","","http://xhpfmapi.zhongguowangshi.com/share/index.html?docid=2363300&channel=weixin&from=timeline&isappinstalled=0",
"86","2017-09-30 22:47:37","2017-09-30 22:47:40","","http://note.youdao.com/share/mobile.html?id=96de6043c229fab9a14c0c6cddb81a36&type=note&from=groupmessage&isappinstalled=0#/",
"87","2017-10-01 00:53:57","2017-10-01 00:54:01","","http://mp.weixin.qq.com/s/q4nIaB7p3y_1jrzLkOVOYw",
"88","2017-10-01 01:01:55","2017-10-01 01:01:59","","http://mp.weixin.qq.com/s/q4nIaB7p3y_1jrzLkOVOYw",
"89","2017-10-01 09:29:11","2017-10-01 09:29:35","","http://blog.sciencenet.cn/home.php?mod=space&uid=789923&do=blog&id=1077759",
"90","2017-10-01 09:31:41","2017-10-01 09:31:45","","http://www.sohu.com/a/195725337_486483",
"91","2017-10-01 09:36:00","2017-10-01 09:36:04","","http://news.changsha.cn/html/230/20170927/2256471.html",
"92","2017-10-01 09:58:30","2017-10-01 09:58:33","","https://max.book118.com/html/2015/0326/13828515.shtm",
"93","2017-10-01 13:45:58","2017-10-01 13:46:05","","http://mp.weixin.qq.com/s/ukk8ag_Muj0kaM8B5gX9PA",
"94","2017-10-04 20:30:49","2017-10-04 20:31:04","","http://blog.sciencenet.cn/home.php?mod=space&uid=1213429&do=blog&id=1077712&from=groupmessage",
"95","2017-10-04 20:31:43","2017-10-04 20:31:47","","http://blog.sciencenet.cn/blog-528739-862070.html?from=groupmessage",
"96","2017-10-10 21:53:11","2017-10-10 21:53:16","","http://www.thepaper.cn/newsDetail_forward_1806029",
"97","2017-10-10 22:25:43","2017-10-10 22:25:48","","http://m.xinmin.cn/mobile/news/content/31307465/30ead904aaae9b235500a49eb55c6e36?&XMWBApp_UdeviceId=null",
"98","2017-10-10 22:26:20","2017-10-10 22:26:23","","http://news.sciencenet.cn/htmlnews/2017/9/389710.shtm",
"99","2017-10-10 22:26:55","2017-10-10 22:26:58","","http://www.stcsm.gov.cn/xwpt/kjdt/350921.htm",
"100","2017-10-10 22:27:23","2017-10-10 22:27:26","","http://views.ce.cn/view/ent/201709/28/t20170928_26376349.shtml",
"101","2017-10-10 22:28:37","2017-10-10 22:28:59","","http://hk.crntt.com/doc/1048/3/6/2/104836211.html?coluid=209&kindid=9572&docid=104836211",
"102","2017-10-10 22:30:01","2017-10-10 22:30:05","","https://www.xcnnews.com/rd/1211578.html",
"103","2017-10-10 22:35:03","2017-10-10 22:35:06","","http://env.people.com.cn/n1/2017/0926/c1010-29559114.html",
"104","2017-10-10 22:36:21","2017-10-10 22:36:24","","http://www.shanghai.gov.cn/nw2/nw2314/nw2315/nw4411/u21aw1259124.html?from=singlemessage&isappinstalled=0",
"105","2017-10-10 22:37:20","2017-10-10 22:37:23","","http://www.ccdi.gov.cn/xcjy/qlkm/201709/t20170929_108186.html?from=singlemessage&isappinstalled=0",
"106","2017-10-10 22:38:10","2017-10-10 22:38:12","","http://3g.china.com/act/news/10000169/20170926/31514078.html",
"107","2017-10-10 22:38:37","2017-10-10 22:38:40","","http://society.people.com.cn/n1/2017/0926/c1008-29560089.html",
"108","2017-10-10 22:39:05","2017-10-10 22:39:07","","http://tibet.news.cn/ywjj/2017-09/26/c_136638908.htm",
"109","2017-10-10 22:39:50","2017-10-10 22:39:53","","http://t.m.china.com.cn/convert/c_0jTzev.html",
"110","2017-10-10 22:41:00","2017-10-10 22:41:03","","http://www.bjnews.com.cn/news/2017/09/25/459192.html",
"111","2017-10-10 22:43:08","2017-10-10 22:43:11","","http://news.ifeng.com/a/20170925/52154462_0.shtml",
"112","2017-10-10 22:44:32","2017-10-10 22:44:35","","https://m.weibo.cn/status/FnuQp4s0j",
"113","2017-10-10 22:45:28","2017-10-10 22:45:31","","http://www.ce.cn/xwzx/gnsz/gdxw/201709/25/t20170925_26291977.shtml",
"114","2017-10-11 00:31:54","2017-10-11 00:31:59","","http://www.ce.cn/xwzx/gnsz/gdxw/201709/25/t20170925_26291977.shtml",
"115","2017-10-11 08:06:31","2017-10-11 08:06:35","","http://tibet.news.cn/ywjj/2017-09/26/c_136638908.htm?from=timeline#10006-weixin-1-52626-6b3bffd01fdde4900130bc5a2751b6d1",
"116","2017-10-11 13:43:33","2017-10-11 13:43:40","","http://www.ccdi.gov.cn/xcjy/qlkm/201709/t20170929_108186.html?from=groupmessage&isappinstalled=0",
"117","2017-10-11 14:12:53","2017-10-11 14:12:55","","http://app.peopleapp.com/Api/600/DetailApi/shareArticle?type=0&article_id=712013",
"118","2017-10-11 14:13:09","2017-10-11 14:13:10","","http://app.peopleapp.com/Api/600/DetailApi/shareArticle?type=0&article_id=712288",
"119","2017-10-11 14:13:01","2017-10-11 14:13:12","","http://app.peopleapp.com/Api/600/DetailApi/shareArticle?type=0&article_id=712013",
"120","2017-10-11 14:13:14","2017-10-11 14:13:15","","http://app.peopleapp.com/Api/600/DetailApi/shareArticle?type=0&article_id=712988",
"121","2017-10-11 14:13:33","2017-10-11 14:13:39","","http://app.peopleapp.com/Api/600/DetailApi/shareArticle?type=0&article_id=712288",
"122","2017-10-11 14:14:06","2017-10-11 14:14:10","","http://app.peopleapp.com/Api/600/DetailApi/shareArticle?type=0&article_id=712988",
"123","2017-10-11 14:24:42","2017-10-11 14:24:46","","http://m.xinmin.cn/mobile/news/content/31306053/2072aee508e8208a4a4bbf94e5dc9120",
"124","2017-10-11 20:21:01","2017-10-11 20:21:03","","http://baijiahao.baidu.com/s?id=1579658174528612082&wfr=spider&for=pc",
"125","2017-10-11 20:21:26","2017-10-11 20:21:27","","http://wemedia.ifeng.com/32554268/wemedia.shtml",
"126","2017-10-11 20:21:38","2017-10-11 20:21:39","","http://sd.ifeng.com/a/20170912/5987565_0.shtml",
